name,address,latitude,longitude,city,PID
Banque Zitouna Agence Bizerte 14 Janvier,"شارع 14 جانفي 2011, بنزرت, 7029",37.285407,9.862762,Bizerte,41260
Banque Zitouna Agence Gabs,"نهج علي بن خليفة, قابس, 6001",33.885646,10.099933,Gabès,75026
Banque Zitouna,"159 Avenue Farhat Hached, Gabes, 6099",33.885717,10.100239,Gabès,32902
Banque Zitouna Agence Gabes Menzel,"نهج أبو داود, قابس, 6040",33.880509,10.090602,Gabès,32894
Banque Zitouna Agence Metouia,"Rn15, المطوية, 6089",33.958422,10.004786,Gabès,90212
Banque Zitouna Agence Mareth,"RN1, مارث, 6080",33.615996,10.289203,Gabès,39926
Banque Zitouna Agence Mednine,"شارع الحبيب بورقيبة, مدنين, 4100",33.348043,10.487594,Gabès,32865
Banque Zitouna Agence Mednine Route Tataouine,"شارع 2 ماي, مدنين, 4100",33.337996,10.486327,Gabès,32935
Banque Zitouna Agence Djerba May,Djerba,33.803984,10.882603,Gabès,32882
Banque Zitouna Agence Ghomrassen,"RR121, غمراسن",33.059276,10.337061,Gabès,75915
Banque Zitouna Agence Gafsa Cit Ennour,"شارع فلسطين, قفصة, 2123",34.428743,8.782308,Gafsa,44226
Banque Zitouna Agence Gafsa,"Shari' 2 Maris 1934, Qafsah, 2100",34.41681,8.790543,Gafsa,83094
Banque Zitouna Agence Metlaoui,"RN3, المتلوي",34.315732,8.401368,Gafsa,32932
Banque Zitouna Agence Souk Lahad,"RN16, Souk El Ahad",33.77518,8.856253,Gafsa,38149
Banque Zitouna Agence Tozeur,توزر,33.904987,8.169978,Gafsa,32888
Banque Zitouna Agence Kbili 2,قبلي,33.705769,8.973118,Gafsa,32955
Banque Zitouna Agence Tozeur,"Avenue Farhat Hached, Tozeur, 2213",33.92138,8.124073,Gafsa,32860
Banque Zitouna Agence Kasserine,"RR182, القصرين, 1200",35.170199,8.839272,Gafsa,37078
Banque Zitouna Agence Sbeitla,"RN13, سبيطلة, 1250",35.233083,9.126278,Gafsa,71004
Banque Zitouna Agence Menzel Temime,"شارع الثورة, منزل تميم, 8080",36.776534,10.988871,Nabeul,32842
Banque Zitouna Agence El Kef,"Nahj Seedi Bou Makhlouf, al-Kaf, 7100",36.18145,8.714108,Siliana,46495
Banque Zitouna,"Boulevard Mongi Slim, El Kef, 7100",36.171023,8.705402,Siliana,32884
Banque Zitouna Agence Boussalem,"Rn6, بو سالم, 8170",36.609501,8.972647,Siliana,38183
Banque Zitouna Agence Jendouba,"نهج الحبيب ثمار, جندوبة, 8100",36.500939,8.779509,Siliana,89930
Banque Zitouna Agence Béja,"Shari' Barys, Bajah, 9000",36.723726,9.185702,Siliana,38172
Banque Zitouna Agence Tabarka,"نهج الجزائر, طبرقة, 8110",36.955397,8.758513,Jendouba,32961
Banque Zitouna Agence Tatouine Cit Ennozha,تطاوين,32.936833,10.451833,Medenine,88168
Banque Zitouna Agence Tataouine,"نهج الحبيب مستاوي, تطاوين",32.93075,10.450074,Medenine,88165
ATB - ATB,"Avenue Jean Jaurès, Tunis",36.801168,10.185241,Tunis,52126
ATB - ATB,"Rue du Caire, Tunis",36.800277,10.182883,Tunis,82363
ATB - ATB,"42 Bis Tunnel Bab Souika, Tunis, 1059",36.805242,10.16909,Tunis,32852
ATB - ATB - Pacha Market,"Rue 8005, Tunis, 1002",36.818276,10.183979,Tunis,51625
ATB - ATB - Agence Ezzitouna,"Rue de la Mosquée Ezzaitouna, Tunis, 1008",36.797683,10.171775,Tunis,32952
ATB - ATB,"42 Bis Boulevard Bab Bnet, Tunis, 1019",36.801179,10.165992,Tunis,32970
